X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
317141.5,6276687.5,194.00,4055.55277,4559.60086,4885.00,502.81550,0.58290,317141.500000,6276687.500000
317150.5,6276687.5,195.00,4077.34382,4509.23322,4960.00,502.85750,0.58251,317150.500000,6276687.500000
317159.5,6276687.5,196.00,4166.89041,4168.63238,4952.00,502.89990,0.58205,317159.500000,6276687.500000
317168.5,6276687.5,197.00,4182.63092,4280.52168,5042.00,502.94410,0.58016,317168.500000,6276687.500000
317177.5,6276687.5,198.00,4070.17763,4435.63258,5050.00,502.99170,0.57544,317177.500000,6276687.500000
317186.5,6276687.5,199.00,3889.03129,3902.38677,4907.00,503.04410,0.57005,317186.500000,6276687.500000
317195.5,6276687.5,200.00,3596.41358,4020.02475,4735.00,503.09810,0.56472,317195.500000,6276687.500000
317204.5,6276687.5,201.00,3928.19592,3684.33449,4660.00,503.15100,0.55985,317204.500000,6276687.500000
317213.5,6276687.5,202.00,3958.72841,3442.19990,4510.00,503.20140,0.55424,317213.500000,6276687.500000
317222.5,6276687.5,203.00,3924.87490,3392.76513,4729.00,503.25190,0.54888,317222.500000,6276687.500000
317240.5,6276687.5,204.00,4068.44324,3809.37378,4253.00,503.35890,0.54693,317240.500000,6276687.500000
317249.5,6276687.5,205.00,4152.67993,3353.16224,4516.00,503.44155,0.54716,317249.500000,6276687.500000
317258.5,6276687.5,206.00,4230.06301,3292.40431,4472.00,503.52630,0.54784,317258.500000,6276687.500000
317267.5,6276687.5,207.00,4069.02825,3448.12751,4547.00,503.58050,0.54987,317267.500000,6276687.500000
317276.5,6276687.5,208.00,4082.39777,3613.98130,4685.00,503.63080,0.55308,317276.500000,6276687.500000
317285.5,6276687.5,209.00,3940.64573,3236.39001,4903.00,503.67840,0.55660,317285.500000,6276687.500000
317294.5,6276687.5,210.00,3914.67746,3508.27674,5245.00,503.72520,0.56064,317294.500000,6276687.500000
317303.5,6276687.5,211.00,3818.76026,3786.56248,4809.00,503.77260,0.56520,317303.500000,6276687.500000
317312.5,6276687.5,212.00,3830.79038,3807.16797,5019.00,503.82130,0.56971,317312.500000,6276687.500000
317321.5,6276687.5,213.00,3291.10484,3485.01142,4967.00,503.87130,0.57317,317321.500000,6276687.500000
317330.5,6276687.5,214.00,3300.73751,3875.83299,4673.00,503.92220,0.57515,317330.500000,6276687.500000
317339.5,6276687.5,215.00,3304.66402,4260.54605,4532.00,503.97390,0.57726,317339.500000,6276687.500000
317348.5,6276687.5,216.00,3212.68211,3933.00587,4564.00,504.02750,0.57612,317348.500000,6276687.500000
317357.5,6276687.5,217.00,3319.60151,4824.50933,4202.00,504.08720,0.56934,317357.500000,6276687.500000
317366.5,6276687.5,218.00,3193.10331,4481.52586,4086.00,504.14860,0.56157,317366.500000,6276687.500000
317375.5,6276687.5,219.00,3437.86791,4666.07421,3575.00,504.24010,0.55396,317375.500000,6276687.500000
317384.5,6276687.5,220.00,3172.65654,3954.23416,3197.00,504.32910,0.54731,317384.500000,6276687.500000
317393.5,6276687.5,221.00,3435.73990,4104.99197,3302.00,504.38650,0.54134,317393.500000,6276687.500000
317402.5,6276687.5,222.00,3432.49210,4182.94596,2762.00,504.44290,0.53404,317402.500000,6276687.500000
317411.5,6276687.5,223.00,3456.19018,3934.38673,2620.00,504.49600,0.52833,317411.500000,6276687.500000
317420.5,6276687.5,224.00,3322.47290,2867.58844,2917.00,504.54460,0.52523,317420.500000,6276687.500000
317429.5,6276687.5,225.00,3363.55402,3236.85061,2768.00,504.58890,0.52219,317429.500000,6276687.500000
317438.5,6276687.5,226.00,3035.63018,2460.74870,2868.00,504.63140,0.51887,317438.500000,6276687.500000
317447.5,6276687.5,227.00,3116.69982,3191.67537,2987.00,504.67680,0.51482,317447.500000,6276687.500000
317456.5,6276687.5,228.00,2447.38117,3968.43091,2810.00,504.72900,0.51053,317456.500000,6276687.500000
317465.5,6276687.5,229.00,2812.62138,4167.01620,2526.00,504.78320,0.50541,317465.500000,6276687.500000
317474.5,6276687.5,230.00,3016.41963,4199.23924,2799.00,504.83340,0.50168,317474.500000,6276687.500000
317483.5,6276687.5,231.00,3003.15358,3572.20190,2428.00,504.87610,0.49934,317483.500000,6276687.500000
317492.5,6276687.5,232.00,2881.59867,3758.10050,2512.00,504.91060,0.49720,317492.500000,6276687.500000
317501.5,6276687.5,233.00,3036.84677,3848.16441,2315.00,504.95285,0.49831,317501.500000,6276687.500000
317510.5,6276687.5,234.00,3159.67121,3701.91645,2457.00,504.98820,0.50346,317510.500000,6276687.500000
317519.5,6276687.5,235.00,3078.28258,3560.97274,2425.00,505.00290,0.50912,317519.500000,6276687.500000
317528.5,6276687.5,236.00,2748.45951,3099.44663,2615.00,505.00770,0.51217,317528.500000,6276687.500000
317537.5,6276687.5,237.00,2507.51361,2632.01725,2268.00,505.00130,0.50437,317537.500000,6276687.500000
317546.5,6276687.5,238.00,2771.50423,3805.30621,2441.00,504.98380,0.49572,317546.500000,6276687.500000
317555.5,6276687.5,239.00,2869.94609,3960.05965,2249.00,504.95790,0.48654,317555.500000,6276687.500000
317564.5,6276687.5,240.00,3023.66844,2792.85413,2391.00,504.92530,0.47453,317564.500000,6276687.500000
317573.5,6276687.5,241.00,2992.36694,2718.64493,2474.00,504.88700,0.46079,317573.500000,6276687.500000
317582.5,6276687.5,242.00,3081.28340,2700.73075,2511.00,504.84490,0.44709,317582.500000,6276687.500000
317591.5,6276687.5,243.00,3146.01021,2885.69443,2443.00,504.79800,0.43932,317591.500000,6276687.500000
317600.5,6276687.5,244.00,3120.70818,2894.10207,2157.00,504.72920,0.44358,317600.500000,6276687.500000
317609.5,6276687.5,245.00,3132.66508,3288.75328,2880.00,504.65610,0.44828,317609.500000,6276687.500000
317618.5,6276687.5,246.00,3225.88605,3725.75841,3461.00,504.58130,0.45350,317618.500000,6276687.500000
317627.5,6276687.5,247.00,3211.60044,3655.83047,3300.00,504.46770,0.45985,317627.500000,6276687.500000
317636.5,6276687.5,248.00,3233.70591,3506.85934,3776.00,504.35840,0.46650,317636.500000,6276687.500000
317645.5,6276687.5,249.00,3188.44969,3483.74297,3043.00,504.28280,0.47271,317645.500000,6276687.500000
